subset,n_runs,role,status,compatibility_issues,fit_start_ps,fit_end_ps,fit_duration_ps,end_fraction,end_fraction_threshold_reached,DeltaT0_K,mean_system_T_K,area_A2,G_sym_W_m2K,G_sym_MW_m2K,R_sym_m2K_W,R_sym_x1e8_m2K_W,R2_energy_sym,energy_fit_RMSE_eV,energy_fit_residual_lag1,G_hot_MW_m2K,G_cold_MW_m2K,side_fit_disagreement_pct,sensitivity_type,value
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,50.0,49.0,0.5,True,49.044232067073196,299.9497575181875,19451.936377515,7278400.043183998,7.278400043183998,1.3739283277462467e-07,13.739283277462468,0.9984946963876038,0.16962981549102615,0.7786997675664881,7.278634632023472,7.278165454344521,0.006446165038583779,ensemble_end_fraction,0.5
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,67.0,66.0,0.4,True,49.044232067073196,299.96328784144305,19451.936377515,7197963.455570795,7.197963455570795,1.3892818519744772e-07,13.892818519744772,0.9989693662784808,0.1681063349933685,0.7964607416555736,7.19824356686792,7.197683344273673,0.007783070832536954,ensemble_end_fraction,0.4
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,85.0,84.0,0.3,True,49.044232067073196,299.95866619120505,19451.936377515,7288131.406371648,7.288131406371648,1.3720938114888407e-07,13.720938114888407,0.9989573183670746,0.19557398129332165,0.8531420167133357,7.2884210080789575,7.287841804664342,0.007947214207880589,ensemble_end_fraction,0.3
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,98.5,97.5,0.25,True,49.044232067073196,299.9662960708049,19451.936377515,7352019.676281618,7.352019676281618,1.3601704620379406e-07,13.601704620379406,0.9989746225286092,0.2096508250754764,0.8793516350604011,7.352321576087811,7.351717776475422,0.008212703977626691,ensemble_end_fraction,0.25
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,113.0,112.0,0.2,True,49.044232067073196,299.97621051740896,19451.936377515,7373873.724369419,7.373873724369419,1.3561393066647824e-07,13.561393066647824,0.9991342632640747,0.20421532364114195,0.8795936605566034,7.374186001819825,7.3735614469190125,0.008469834501612575,ensemble_end_fraction,0.2
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,46.0,45.0,0.5,True,51.215855813409995,299.3259577908421,19451.936377515,7758218.860714673,7.758218860714673,1.2889556455589367e-07,12.889556455589366,0.9893017368754622,0.48015923442992814,0.916965012165935,7.758474091346582,7.757963630082761,0.006579619278418211,ensemble_end_fraction,0.5
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,64.0,63.0,0.4,True,51.215855813409995,299.3602659243099,19451.936377515,7849026.802811131,7.849026802811131,1.2740432987715748e-07,12.740432987715748,0.994624376496763,0.4238605292466122,0.8878730447327041,7.849347364486354,7.848706241135909,0.008168189083194765,ensemble_end_fraction,0.4
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,80.0,79.0,0.3,True,51.215855813409995,299.34911647320934,19451.936377515,7912121.281507345,7.9121212815073445,1.263883558429844e-07,12.63883558429844,0.99643119029878,0.3926453401370818,0.8710870237955244,7.912446158087569,7.911796404927117,0.008212123365325282,ensemble_end_fraction,0.3
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,95.0,94.0,0.25,True,51.215855813409995,299.36031483618416,19451.936377515,8018468.606684316,8.018468606684316,1.2471209267644758e-07,12.471209267644758,0.9967601294027455,0.40951429727585115,0.8795916925871275,8.018816014949394,8.018121198419239,0.00866520235017042,ensemble_end_fraction,0.25
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,107.0,106.0,0.2,True,51.215855813409995,299.3586727547593,19451.936377515,8035226.161500686,8.035226161500686,1.2445200420012032e-07,12.445200420012032,0.9972076280428094,0.39870740589507747,0.8686556120008618,8.035590561243174,8.034861761758197,0.009070055656534928,ensemble_end_fraction,0.2
