Time  E_hot  E_cold
0  0  0
1000  -1.82133375273065  -1.0364903553259
2000  -0.0863740153675332  -1.27523565340829
3000  -2.00279069373401  -1.61387619113641
4000  -3.89150088981036  -0.410851811702337
5000  -4.41314963874824  -0.144178049319769
6000  -3.4213168355873  0.0725236551403464
7000  -2.09303917302007  1.92001027878034
8000  -4.84917407505506  2.83210910932751
9000  -4.72947741922118  3.78209469251189
10000  -4.60157621804975  4.10438782823996
11000  -4.56774678492592  4.4395378013392
12000  -5.63222620540217  5.05419959027653
13000  -3.87397471984226  4.98009877151679
14000  -5.60106094404732  5.51630467658254
15000  -6.14477993059905  7.63599682564566
16000  -7.61570035176745  7.05214011311912
17000  -8.84798118828509  6.11808190833943
18000  -8.03270394194841  7.49741559775851
19000  -10.3703651725048  7.6991057712736
20000  -7.98674918397228  6.77023767544619
21000  -8.98470677898316  8.1200340171087
22000  -8.59664287565259  11.2822165276926
23000  -9.38467507354178  11.2162531458875
24000  -8.58508789208875  12.7189564466066
25000  -9.97308094151297  13.6710251654468
26000  -11.7162373564435  14.2356838405483
27000  -11.550618459324  14.2668377211906
28000  -10.9318669881505  14.9399419926533
29000  -12.5784241222509  13.8480784774948
30000  -14.6776900303077  16.1314986550684
31000  -13.4556510042164  17.4154920250364
32000  -16.1196093399033  15.7820732707426
33000  -17.3727010284623  19.1363342883402
34000  -17.1077553512171  20.2620432819638
35000  -18.7459401419483  19.7637858416853
36000  -18.4427675186525  22.9688952624257
37000  -19.4980993174739  23.80800416759
38000  -20.8144236059871  22.2429012487999
39000  -21.2686138048922  25.331550255033
40000  -19.6629662831478  25.4213872474668
41000  -21.1721284508049  25.4822490913692
42000  -21.8452254131181  25.0399005272165
43000  -20.9757725431729  23.5124488096615
44000  -22.2729563357224  27.6969267466191
45000  -25.7221711613942  28.1103447626328
46000  -27.2654773661573  29.0611123602875
47000  -26.5019713282219  26.1778733826831
48000  -27.1142387320816  27.303893230127
49000  -27.7311101451697  27.822020448933
50000  -30.1733958690126  29.5475249871744
51000  -29.2492098676773  29.7354717596107
52000  -30.8650253715119  30.4190241878758
53000  -29.9923613912865  33.1513610491386
54000  -34.2219662163456  30.3745913619022
55000  -31.8640339946059  33.2331636521919
56000  -32.426441671646  32.3041353479455
57000  -35.6643119563636  34.2045891477651
58000  -33.3147137076474  36.5331431251015
59000  -34.6978695430178  35.3917734463537
60000  -37.1224282865151  37.9305915600527
61000  -37.2718669614178  38.3475573777889
62000  -37.9605504091019  41.8874836008317
63000  -39.0084056828322  42.1435706481683
64000  -37.6079011248743  42.0981640587326
65000  -36.1453293993776  42.2134734098326
66000  -37.0543279978559  42.4776176291547
67000  -39.0057587581686  41.7648638971049
68000  -38.838361726384  42.6949502845741
69000  -38.7076178233547  43.9930483384851
70000  -39.9145478802353  44.4484153874026
71000  -40.5913835047087  44.9783209329229
72000  -42.3029298154446  46.4253569049753
73000  -43.2708013087376  46.0718147370754
74000  -44.4018653091946  48.4790784342026
75000  -44.8802975819402  48.3931536248882
76000  -42.6467451233054  49.1052958813622
77000  -46.2110249727613  49.288652291295
78000  -43.6631236678103  49.4137861106479
79000  -46.9593500381217  49.5953551022164
80000  -46.5972357405774  51.2144205445277
81000  -48.0833253096372  51.5557305868463
82000  -46.566504505674  51.5226851379072
83000  -47.4896289510045  51.3046646960623
84000  -47.3268296733315  52.8630336162275
85000  -47.3828099556507  51.9901389635444
86000  -49.8776038843706  54.5762504742517
87000  -48.0289844356388  55.2224692140311
88000  -50.068510961233  55.5572396267478
89000  -50.4007892993795  55.3796849718521
90000  -50.7756579343381  55.8515922073065
91000  -49.1674438174135  57.6744960716241
92000  -51.0616896772736  56.4338210060414
93000  -51.7963742401905  54.4612907048422
94000  -51.8511839012194  56.530402107086
95000  -53.881410931449  56.5217659371462
96000  -55.5915300604837  56.512628577486
97000  -54.2656308241728  56.9327241563423
98000  -54.796542292345  56.6748385873641
99000  -56.0850050088636  57.6584530976166
100000  -54.8643239063142  57.4538122036281
101000  -53.1167805339802  58.8441792187588
102000  -53.5750722117396  59.8764629800046
103000  -52.2978965587954  63.274609187101
104000  -54.0786276139161  63.0344257806337
105000  -55.5582448182747  62.1577471015754
106000  -56.5062678434776  65.6718003361589
107000  -59.5015703301609  64.6033314500257
108000  -59.5115075328576  63.686232542136
109000  -62.0509187552075  64.2369325363832
110000  -62.411510878435  64.218222083878
111000  -62.7279716529222  66.2854699722788
112000  -62.6282955776587  66.5104821312496
113000  -63.361629460773  67.7948775028675
114000  -64.8260109789954  68.8108557539281
115000  -66.0021517356733  70.3701721707639
116000  -63.5700167141424  68.9535978088112
117000  -68.0752120770969  69.9198522688849
118000  -67.8988052283774  69.228170829057
119000  -69.1026567960013  72.0393486357763
120000  -69.7977651956351  73.3854154290939
121000  -73.9125249828388  72.3865048711355
122000  -72.0955120691052  72.7930613873061
123000  -73.7275001655755  73.2976598995884
124000  -74.9216480751491  73.9619147066506
125000  -75.1598581239524  73.724965355272
126000  -76.2702702212257  73.0094385312585
127000  -77.6702306099251  73.087861789327
